Lang Code	EN	PL	ES	DE	FR	JP
^sound	Music	Muzyka	Música	Musik	Musique	音楽
^vibration	Vibrations	Wibracje	Vibraciones	Schwingungen	Vibrations	バイブレーション
^language	Language	Język	Idioma	Sprache	Langue	言語
^settings	Settings	Ustawienia	Ajustes	Einstellungen	Paramètres	設定
^tap_to_play	Touch to play	Dotknij by zagrać	Toca para jugar	Berührung zum Spielen	Toucher pour jouer	再生するためにタッチ
^level	Level	Poziom	Nivel	Ebene	Niveau	レベル
^undo	Back up	Cofnij	Retrocede.	Sichern	Sauvegarder	バックアップ
^skip	Skip	Pomiń	Saltar	überspringen	Sauter	スキップ
^unlocked	Unlocked	Odblokowano	Desbloqueado	Freigegeben	Débloqué	ロック解除
^unlock_new	Unlock New	Odblokuj nowy	Desbloquear nuevo	Neu freischalten	Débloquer de nouvelles	新しいロックを解除
^tap_to_eat	Tap to eat!	Dotknij by zjeść!	¡Toca para comer!	Zum Essen berühren!	Touchez pour manger !	食べるためにタッチ!
^crispy_message	Crispy!	Chrupiąco!	¡Crujiente!	Knusprig!	Croustillant !	サクッとした食感!
^level_completed	The toast has been fried!	Tost został usmażony!	¡La tostada está frita!	Der Toast ist gebraten!	Le toast a été frit !	トーストが揚げられています!
^soundeffect	Sound	Dźwięki	Sonido	Klang	Sonde	音
^tap_to_destroy	Tap to destroy	Tap to destroy	Tap to destroy	Tap to destroy	Tap to destroy	Tap to destroy
^swipe_to_use_butter	Swipe to use butter	Swipe to use butter	Swipe to use butter	Swipe to use butter	Swipe to use butter	Swipe to use butter
^swipe_to_start_heating	Swipe to start heating	Przeciągni aby zacząć grzać	A	A	A	A
^swipe_to_use_stamp	Swipe to use stamp	Przeciągni aby użyć stempla	A	A	A	A
^colors	Colors	Kolory	Colores	Farben	Couleurs	色
^order	Order	Zamówienie	Orden	Bestellkarte	Ordre	注文
^shapes	Shapes	Kształty	Formas	Formen	Formes	形	
^stamps	Stamps	Stemple	Sellos	Briefmarken	Timbres	切手
^jams	Jams	Dżemy	Enjambres	Marmeladen	Confitures	ジャム
